Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V),Real ID(HIP)
44390,135.6363579,67.62957486,4.74,44390
45038,137.5980257,67.13423886,4.8,45038
45075,137.7288799,63.51378087,4.67,45075
