star_01,star_02,star_03,area,moment
17499,17573,18246,0.00018202062742394239,1.9142328085691355e-07
42570,43023,46651,0.0001823457866328212,3.358288603549266e-07
80763,82514,82545,0.0001827709542877343,4.850134676052981e-07
82396,82514,82729,0.00018509273362824825,1.5474834277928701e-07
67464,67472,68282,0.0001852214628434417,3.3265577289353306e-08
14135,15900,16083,0.00018567054547249693,1.98413615721638e-07
20885,26241,20894,0.00018580237723841858,2.31324660637291e-06
59747,60260,60718,0.00018629064651490886,5.020131340725918e-08
82396,82545,82729,0.00018629158826458767,1.5578901775891492e-07
13268,15863,14328,0.00018651306739288584,1.4857004058764703e-07
20885,20894,23453,0.00018669547306950706,2.1318435623531966e-06
24436,26549,26727,0.00018787417668246394,2.3816642756998764e-07
78820,80112,78933,0.00018960779167039442,1.3252031408359778e-07
65378,65477,67301,0.00019174706262061077,1.433804602862905e-07
20885,26311,20894,0.00019289073719781826,1.8393124682366538e-06
76470,82514,82545,0.00019320688292924197,1.1124982607144183e-06
67464,67472,68245,0.00019328152133317596,1.0059274428151156e-08
43783,45080,46701,0.00019661099460572816,8.740890862680665e-08
20885,20894,23416,0.0001973392104749644,2.7106469735864847e-06
20885,20894,23767,0.00019748676534439574,2.324147078338128e-06
82514,85792,82545,0.00019929404908997452,6.399756235391809e-07
17702,20889,17847,0.0001993440169002599,3.7569625276925957e-07
20885,26549,20894,0.0001999740799087216,2.141823034000879e-06
80112,82514,82545,0.00020135427693516273,6.696310289378324e-07
20205,20455,20889,0.0002030292920457584,4.428203313899032e-08
24674,26549,26727,0.00020680208854474873,1.8129015722601292e-07
20885,26727,20894,0.00020788093873361221,2.2037895504807937e-06
25336,26311,26549,0.00020954976503469348,2.8079451353159605e-07
78265,82514,82545,0.00020987016019026366,9.459110005774387e-07
20885,20894,26207,0.00021073873805818366,1.05528627257352e-06
78401,80112,80763,0.00021449401095108875,1.700224244634221e-07
98110,99675,99848,0.00021548369024426667,5.807663169536855e-07
82514,90422,82545,0.0002172511714095692,1.3473869055855565e-06
85696,85927,86670,0.00021873195195606118,2.856720277449333e-08
20885,20894,25428,0.0002197720668245779,1.2459829694382055e-06
85927,89642,87261,0.00022181417341697636,2.226587211642975e-07
42536,45101,42913,0.0002222949376243519,3.350103227495626e-07
79593,79882,81377,0.0002231639653672555,2.591597656446645e-07
16083,20885,20894,0.00022826032241302885,1.006498866229157e-06
45556,50371,51576,0.0002294720928063963,2.960094123901943e-07
68282,69996,71860,0.00023064598720220095,1.8366912249890547e-07
65378,65477,68756,0.00023620540066860915,4.520622553932514e-07
15900,20885,20894,0.00023893928255351872,1.1624408907487587e-06
17499,17573,23453,0.00023915008596312232,2.1637367254477177e-06
82514,88714,82545,0.00024047219016563743,1.29728816035595e-06
20885,20894,26451,0.00024193732299213275,1.197139674307166e-06
73273,73807,73334,0.00024729025423338873,9.068781718887164e-08
26311,27366,26549,0.0002474483106866284,2.8694202202697453e-07
66657,67464,67472,0.0002494610554914669,5.583239523597205e-07
73714,82514,82545,0.0002501059492128098,2.8438037930209923e-06
17499,17573,23767,0.000251697663177539,2.411530709871485e-06
17378,20885,20894,0.00025181124283959875,3.281793150078651e-06
68002,68245,68282,0.000252236649853763,8.73060132318158e-08
18614,23453,23767,0.00025373329796763843,8.244686784643103e-07
82514,83081,82545,0.0002540929410088892,1.3804144967142364e-06
93683,94141,95168,0.00025776081537988666,1.111873731186264e-07
90496,93683,94141,0.0002585627358315597,4.311649581526744e-07
78401,82514,82545,0.0002588322532523862,1.5652551869115647e-06
82514,82545,86263,0.0002605677795977211,2.6614066094785865e-06
13209,17573,17847,0.0002611591593515869,7.802101512200978e-07
18724,20894,21421,0.0002621009912572342,3.31395470227228e-07
45080,47854,45556,0.00026267841988036764,1.1738068773188282e-07
60823,61622,61932,0.00026291016183169495,2.7318416864938344e-08
69996,71860,74376,0.0002653926143630191,2.90443210908872e-07
13209,20885,20894,0.0002674061030747522,2.896655344164698e-06
82514,85258,82545,0.00026801800141460175,1.5169500749900212e-06
25281,26241,27366,0.00027055476961596975,2.961810086502918e-07
45080,50371,51576,0.0002708951814067804,4.1889509455975994e-07
2920,3821,4427,0.000272218218401347,1.867107350627597e-07
26311,29651,26727,0.00027312083039882095,4.873812536441523e-07
86670,90422,87073,0.00027459844042491293,4.7010573929060787e-07
17448,17499,17573,0.00027485229376270206,3.0137137327862435e-07
20885,20894,27989,0.00027516676412790914,2.391305435090769e-06
13531,15863,17358,0.0002775166245788998,3.023924440107904e-07
45080,46701,48774,0.00027786226831513414,2.0809919044056591e-07
85258,86929,85267,0.00027898665742108963,3.9425601821027423e-07
82729,85696,85927,0.00027914423152297543,3.721464907946682e-07
82514,85267,82545,0.0002792953144386439,1.7197524231580205e-06
14354,14576,14668,0.00027939307532066107,1.3452266419804199e-07
17499,17573,18614,0.0002801974755359266,6.714816672122526e-07
85696,85927,89642,0.0002811279583124146,3.927038871910638e-07
78933,82514,82545,0.0002820090129135216,1.8774337573949382e-06
16537,20885,20894,0.00028483906867383957,3.934975561231344e-06
17499,17573,23015,0.00028505101293065425,1.5555127420995275e-06
53253,54463,59747,0.00028539455155173935,4.540502037841337e-07
59449,60823,61932,0.00028591071790436953,1.2444957324574834e-07
42536,43783,42913,0.0002860641775066987,2.5242891569709935e-07
9884,17702,17847,0.0002863235975544696,2.5555946328297566e-06
75141,75264,75177,0.0002886078693460252,2.602393062038016e-07
93085,93683,94141,0.0002891748119497485,3.1374846604559316e-08
82514,82545,84012,0.0002893676959350689,2.4836895398290452e-06
60260,60718,61585,0.00028945315799744847,3.0390536590344655e-07
82363,82514,82545,0.0002907094977381688,2.147923707004976e-06
21421,22449,22549,0.00029084684107980795,5.830568914107326e-07
78401,78820,78933,0.00029273775694769425,4.029248195285831e-08
59196,59449,61084,0.00029317710825487174,2.1162702009380314e-07
78820,82514,82545,0.0002952285984636684,2.1481516999073894e-06
85696,85927,89931,0.0002960418562989733,7.866925075069384e-07
12706,17499,17573,0.0002961214675894551,3.277787254775068e-06
60260,60718,62322,0.0002989607122305174,2.6121272708461254e-07
43783,45080,45556,0.0003010316247762827,4.3313320067516356e-08
42913,45080,45556,0.0003041453876232673,1.8485203653011524e-07
45101,51576,47854,0.00030482444505189777,3.4886783663561e-07
17702,20455,17847,0.0003059513290776776,5.583926469807944e-07
13209,17573,17702,0.00030644847735056057,8.87800751960674e-07
3179,3821,8886,0.0003078238802314544,6.077100598610041e-07
17499,17573,23416,0.0003083809138803131,3.2302819700442196e-06
65936,67464,68245,0.00031034794238718884,1.4206179721101912e-07
20885,20894,27673,0.0003118072356851123,4.480077048650094e-06
51232,51576,52419,0.00031289145245163175,1.4018663577414765e-07
78820,80763,81266,0.00031320654805008005,5.245043174959612e-07
16083,17499,17573,0.00031490552263537506,1.2150542844987262e-06
14354,14576,15863,0.00031605578302087186,6.003083592742196e-07
47854,50371,53253,0.0003161772552633884,3.327910725046126e-07
23453,23767,28360,0.0003167060241958653,6.174928646340641e-07
15900,17499,17573,0.0003178401068199269,1.3653829813667573e-06
14135,17499,17573,0.0003179936900458318,2.7289885075693476e-06
71683,77952,79664,0.0003184271660529147,5.898513033250649e-07
71681,77952,79664,0.0003187527174656802,5.905619805574816e-07
23416,23453,23767,0.000319800925972215,4.2102817221241e-08
78933,80763,81266,0.00032044178770768394,4.488319398906066e-07
77634,78104,78265,0.00032053218237425155,2.4446212152531027e-07
50371,51576,56561,0.0003230149752715901,3.981483506620927e-07
80112,80763,81266,0.0003278432998744211,7.480066771341096e-08
68002,68282,68933,0.00032855563070292474,5.640720558494371e-07
67464,68245,71352,0.0003301120777290609,3.452197520957045e-07
59747,60718,62322,0.0003309979119604789,4.1758571802749564e-07
20885,20894,28380,0.00033216567906423983,4.7242146999796305e-06
61199,61585,62322,0.0003322839466410539,7.994506444374756e-08
77952,82514,82545,0.0003334786352101509,3.982097878557604e-06
14135,20885,20894,0.0003342325954883807,3.2863426945923368e-06
51576,53253,55425,0.000334594123909882,3.9960781856104957e-07
60718,62322,63613,0.00033547813894388586,3.5626532409559654e-07
17702,21421,17847,0.0003359871471947745,1.0281545962195287e-06
76470,78401,78933,0.0003379678064135979,4.730143871864756e-07
24436,24674,26311,0.0003390659676824385,3.8350880967043303e-07
82514,85727,82545,0.0003401601581398632,3.1258445679089657e-06
84143,85258,85267,0.0003403722449435751,9.561125405433585e-07
10064,17573,17702,0.000340907611519326,3.168472063108281e-06
79664,82514,82545,0.0003416725371536302,3.911362141241039e-06
78384,85696,85927,0.00034335864555790237,1.9057961639333994e-06
85696,85927,87073,0.00034384419852938694,1.0387866581541525e-07
59449,60260,60718,0.0003439755503889049,5.603604997327489e-07
85696,93506,85927,0.00034400431130333513,2.3412340832314215e-06
99675,104060,102098,0.0003444895032954861,3.890129620659097e-07
25930,26549,26727,0.0003448758652246137,4.7564612621633865e-08
45080,45556,51232,0.0003460806990511091,5.312371599283716e-07
17573,21421,17847,0.00034645863701472803,1.098772873427759e-06
3179,3821,4427,0.00034702826771164814,1.0049715484398602e-07
39953,42570,43023,0.0003477284178210407,2.075265219291631e-07
45080,45556,46701,0.0003508164133720883,5.973726640291695e-08
67464,68245,73273,0.00035144700955908536,8.601544369836344e-07
22549,26311,26727,0.00035191146431996464,1.1393491677934107e-06
99675,99848,102422,0.000352111296700827,1.3821169227498093e-06
85696,85927,88635,0.00035251682974573743,5.641927454447604e-07
59449,61084,62434,0.0003528005740543796,3.589095533207275e-07
18532,23453,23767,0.00035292416487023336,9.597886565315937e-07
13209,17499,17702,0.0003529483242241448,1.012669214518175e-06
76276,77070,77622,0.00035341443294665306,2.429208675683762e-07
43023,44816,46651,0.0003549834231666326,4.364252522425798e-07
45080,45101,45238,0.0003559225144082175,5.458371888682308e-07
2920,3179,3821,0.0003566562422032378,8.58487553702206e-08
73334,73807,74395,0.0003566890989854789,4.7366730217499064e-07
46853,50372,50801,0.0003572989530728988,9.342440201668273e-07
17573,20455,17847,0.00035868591796739125,6.861963084890789e-07
85696,89642,87261,0.0003615730476809062,4.06464875492896e-07
73273,73807,74376,0.0003633380690800331,1.7713876930798819e-07
85258,85267,86228,0.0003633635901906061,1.0536416658527888e-06
17702,17847,26451,0.0003639781813116983,3.897873554431099e-06
20885,20894,29655,0.0003643723215026941,4.0648600696116625e-06
20042,25859,20535,0.0003656303125166756,1.3026813639377412e-06
71860,73273,73334,0.00036608159661814213,2.010099811453555e-07
26451,29655,30343,0.0003661582703041961,5.946789787974349e-07
18724,20885,21421,0.00036972434190808966,4.683556666206865e-07
25281,26549,26727,0.00037213165869034304,9.499267269823103e-08
24608,27673,28380,0.0003729030498312625,7.409586370606321e-07
26549,26727,27989,0.00037407280097958846,6.879814692319551e-07
73273,73807,74395,0.00037528999749964403,4.096646801531464e-07
18907,20205,20455,0.00037569626459180193,8.572683140727298e-07
33579,33856,33977,0.00037665846804439505,1.4596045647100408e-07
42913,45941,48774,0.0003791052280340658,5.208360185998921e-07
45080,45556,53253,0.00038124497735426505,1.0465604310023027e-06
17499,17573,24608,0.00038133715941486215,5.122532530308152e-06
24305,27288,28103,0.00038152770866216866,6.082776116257594e-07
85696,93864,85927,0.0003822135175031305,3.111981487727314e-06
59196,60823,61932,0.00038283964647051606,1.556490102622385e-07
85696,85927,92041,0.0003828488430869865,2.2133306233375344e-06
67464,68702,67472,0.0003836902111897185,2.1875517127078534e-06
59196,60260,59449,0.0003839123765907408,5.390417355914502e-07
17702,20885,17847,0.00038415914300655844,1.0047196314339609e-06
76333,82514,82545,0.00038593688472015784,5.286440347243988e-06
78820,80763,78933,0.00038628739186458236,4.407609205762729e-07
17702,20894,17847,0.00038922993846365227,1.030561518310399e-06
3179,3821,6686,0.0003895819449138114,2.6288769879242167e-07
23453,23767,27673,0.00038997997981533335,5.596535227500833e-07
20885,20894,30343,0.00039024238260181444,4.9826152345810396e-06
33152,34444,35904,0.00039180596721231724,3.5313791776092915e-07
45080,45556,54463,0.00039212342623278314,1.4140071834341042e-06
18724,20455,20889,0.00039470167212030474,4.957126508834063e-07
81377,82514,82545,0.0003962300597017149,5.0345880372994284e-06
46701,51232,53253,0.00039701693240669247,6.428825423757111e-07
45080,45101,45556,0.00039714862561433014,7.287054188247869e-08
38827,42570,43023,0.0003974159050260768,6.794367577626139e-07
77622,79593,79882,0.0003976097290271747,7.868697365579058e-07
12706,20885,20894,0.0004007539701852468,5.521148213136189e-06
26311,28103,26549,0.0004010704494395303,1.1765166677647976e-06
37819,39953,38414,0.0004019699418051199,5.820764217561519e-07
53253,54463,61084,0.00040212840573349744,9.977649062506512e-07
82514,86929,82545,0.000402573142648747,5.176543057959327e-06
85696,85927,92855,0.00040656440020898823,2.9136346675655537e-06
66657,68002,68282,0.00040792508938443254,4.6598151024449613e-07
45080,52419,45556,0.00040821613956535134,9.435410739568233e-07
22449,26311,26727,0.00040963641015159916,1.527072854946574e-06
22449,23875,22549,0.0004097647479275494,1.0323384780701617e-06
59196,59449,59747,0.0004098170199259742,3.7848648242729206e-07
9884,17499,17702,0.0004105542947321096,3.513780497634595e-06
17499,17702,20889,0.00041099752992904544,8.436676985859382e-07
78104,78265,78820,0.0004116647008155416,5.013307590771223e-07
76297,85696,85927,0.0004120098860925524,3.614231748208736e-06
63125,65378,65477,0.00041236769503099935,2.078492288548907e-06
30343,32362,31681,0.00041409458942622825,6.494620998683638e-07
65109,68282,65936,0.00041695549194055843,6.474342449292131e-07
76600,78401,78933,0.00041733925766455443,7.193076064219351e-07
65109,67472,65936,0.0004184950553673115,3.449200316814814e-07
65936,67464,67472,0.0004200615070120858,1.4139618144031486e-07
97649,99473,98036,0.0004214476430275817,6.954976883304335e-07
48002,50371,51232,0.00042354428644294877,3.461625077978623e-07
84143,85696,85927,0.0004237021206902793,3.6743076789815745e-07
17702,20205,17847,0.00042425673457704326,9.028400687176759e-07
8903,17702,17847,0.0004251195508749825,4.936430929576312e-06
59747,60260,62322,0.000425607755540914,6.082438694391351e-07
85258,85267,85696,0.00042751273700871166,2.506182357731801e-06
73273,73334,73714,0.00042794192170209864,2.174221051938851e-06
41037,45080,45556,0.0004282071274405578,3.164357654865549e-07
59774,62956,65378,0.00042898959958781463,5.224542024389375e-07
22449,25930,26311,0.0004291690949800182,1.322076103649597e-06
76470,77634,76600,0.0004323145154535514,2.3236276912514164e-07
67464,67472,68933,0.0004325350727815985,3.221875446304183e-07
17499,17573,18532,0.00043719066778932834,1.879395729407818e-06
51986,52727,55425,0.00043754897170745946,5.273972090916292e-07
50372,50801,53229,0.0004380454526100543,8.083134039178381e-07
13701,16537,17378,0.0004406252953745766,8.262100922362031e-07
17573,22449,17702,0.0004440088657175426,3.912752768723883e-06
17448,17573,17702,0.0004440198130196517,4.894992489137811e-07
8796,17702,17847,0.00044451771549862157,5.082395337117581e-06
86670,87261,88635,0.00044587125349054293,5.939924030752047e-07
73273,74376,73334,0.0004503657814424219,3.307716990288304e-07
77516,78820,78933,0.0004505270766414149,2.2645706682493138e-06
42570,43023,44511,0.00045062761173729086,1.0832817355070402e-07
46701,53253,54463,0.0004516385815212199,1.1172812999476608e-06
89931,92041,92855,0.0004517426636970491,4.2793206666525806e-07
40526,43109,43813,0.0004547222286389611,6.601204407900169e-07
59196,60260,60718,0.0004559340270568802,1.0144901823301353e-06
65378,65477,75097,0.00045647703885691947,3.3261598601564937e-06
33579,35904,37677,0.0004607445120159194,5.731143459542133e-07
14879,20042,20535,0.00046200780116973457,1.8697808417094887e-06
89642,90185,92041,0.00046264170478308375,8.355499629388455e-07
48002,51576,53253,0.00046361809652297267,5.882541964795044e-07
8796,8832,8903,0.0004645131815111223,7.262814595991165e-07
17702,17847,18246,0.00046496659537310415,4.922404839061661e-07
82396,85696,85927,0.0004661854928423539,6.400544832542119e-07
71683,73273,73334,0.0004667146625609533,2.6701212548540776e-06
71681,73273,73334,0.00046699210384317614,2.6730945373307438e-06
42536,45080,45556,0.0004691396993005244,4.835286993620436e-07
97278,99473,97649,0.00047014407753899555,1.1645932867411064e-06
85258,85267,85927,0.00047062944390424666,2.823941848375555e-06
43783,45556,46701,0.00047137472540092465,2.104662362620379e-07
93506,93864,95168,0.00047181658641932083,1.1036817617779853e-06
17448,17702,17847,0.00047195013079751773,5.443357263380986e-07
17573,20885,17847,0.00047367599532379653,1.2878736662513453e-06
61281,65378,65477,0.0004745104557692302,2.015598614307335e-06
71352,73334,76297,0.0004747555828198153,7.612930450921057e-07
2920,3179,4427,0.00047497354914325464,3.3187066366792687e-07
32759,33856,34444,0.0004754343201329389,3.4457590389124933e-07
7097,8903,9884,0.0004768270878146821,8.533840130077369e-07
87808,92420,93194,0.00048009282455408267,1.3128373442295293e-06
32759,33579,34444,0.0004801536362730328,3.290067233279393e-07
42536,42913,45080,0.00048099893361811517,3.635636465762147e-07
83081,85258,85267,0.00048220310299363603,1.1836139833572427e-07
23875,25281,26311,0.00048244413957226483,4.0631130636387584e-07
78820,81266,78933,0.0004825341799511656,8.974191139134041e-07
17573,20894,17847,0.0004828833187998804,1.3287820499279312e-06
88635,92041,92855,0.0004851163705433053,9.345958569700138e-07
61199,61585,62434,0.00048604835178839685,1.0525502074609752e-06
17573,18246,18614,0.0004868976518994472,8.818065783811905e-07
24305,26549,26727,0.0004890197157300256,1.9597320082337465e-06
68002,71860,73807,0.0004896499535301972,8.948890666280165e-07
42570,44816,46651,0.0004903331319950788,7.46552918496275e-07
8832,17702,17847,0.0004916554609882372,5.97388926879776e-06
35904,37819,38414,0.0004940406057134404,1.0958634104578232e-06
20042,26634,20535,0.0004944409404909141,2.2147845832881403e-06
29655,35550,30343,0.0004946453749846018,1.692904146622005e-06
26241,26311,26549,0.0004954304604634129,1.5166793458503153e-07
82273,85258,85267,0.0004955259734522174,1.5726567774347695e-06
8832,8903,10064,0.0004960698346791623,1.9734350646986914e-06
60260,60718,63613,0.0004987567928163818,9.726143766950035e-07
89341,94141,93085,0.000500055526453807,1.1959186199250103e-06
56561,59747,61084,0.0005016321504585463,5.519070224910084e-07
77070,79593,79882,0.0005019170039345695,1.5076502021403948e-06
55425,60823,61932,0.0005021686543223665,1.3241468598025883e-06
78265,78820,78933,0.0005042080928224031,3.23585732653252e-07
17573,17702,18246,0.0005043278397740342,5.227748969345513e-07
78265,78401,78820,0.0005043891998320978,2.7186205570028935e-07
13209,14354,14576,0.0005050727994107524,1.491307118265059e-06
65936,69996,67472,0.0005052382214039881,7.914477243085022e-07
65378,65477,73555,0.0005056617668056405,3.990735717676667e-06
77070,79593,77622,0.0005058980410714825,1.1371454584306924e-06
68002,69996,73273,0.0005065194722275874,9.18829904832222e-07
13209,17499,17847,0.0005074674121813841,1.5025039084832249e-06
73273,74395,73334,0.0005074726875507324,8.207387246415475e-07
60260,62322,63613,0.0005075456050914898,9.462617378692396e-07
92041,93683,94141,0.0005089761951273754,4.906653429361267e-07
